forget_class,class_name,group,channels,real_sd,null_sd,snr,real_max_abs,null_p99,channels_beyond_noise,pct_beyond_noise
4,deer,fc,512,0.47972952942354846,0.005058547004583673,94.83543970014588,0.8638993501663208,0.01176343312487006,510,99.609375
5,dog,stem,3,0.013602574964779146,0.0008157958901281461,16.673993004110915,0.02271118387579918,0.0016642260365188123,3,100.0
5,dog,layer1,256,0.05816197456635322,0.06280639512017845,0.9260517890743729,0.4966704845428467,0.03186180386692278,78,30.46875
5,dog,layer2,512,0.0777177037567255,0.0581753214533838,1.335922205758693,1.0,0.01765539139509199,372,72.65625
5,dog,layer3,1024,0.11291097909901011,0.02182610035497643,5.173209014099763,1.0,0.016251007281243797,868,84.765625
5,dog,layer4,2048,0.30625554420780227,0.00806883971315291,37.95533869740641,0.9023617506027222,0.024600175004452465,1902,92.87109375
5,dog,fc,512,0.4970580270441189,0.008013973901452353,62.023913872996054,0.8530360460281372,0.02193810822442174,510,99.609375
6,frog,stem,3,0.003657946597827249,0.0007030901273480936,5.202670974238033,0.04917747899889946,0.0021735631674528124,3,100.0
6,frog,layer1,256,0.08873700698479388,0.06249791414167814,1.4198394971011938,0.5539066195487976,0.021613785158842796,125,48.828125
6,frog,layer2,512,0.1189272787329067,0.01180249653421881,10.076451061697204,1.0,0.014958598650991917,436,85.15625
6,frog,layer3,1024,0.14169524134031947,0.010833140949540087,13.079793016662913,1.0,0.014879940859973427,932,91.015625
6,frog,layer4,2048,0.31936594418325603,0.007973904055009867,40.05139038293343,0.9449624419212341,0.022173275575041757,1965,95.947265625
6,frog,fc,512,0.48564349646102806,0.009944142782391719,48.837140323544645,0.9040398597717285,0.02398187575861811,507,99.0234375
7,horse,stem,3,0.00747349930429138,0.0007295919566360959,10.243395964436315,0.01833827793598175,0.003933865483850241,2,66.66666666666667
7,horse,layer1,256,0.08175534233719432,0.06295261810876907,1.2986805758568778,1.0,0.06505974028259492,26,10.15625
7,horse,layer2,512,0.06644349137205431,0.05398356929321106,1.230809526712977,1.0,0.016292951442301216,349,68.1640625
7,horse,layer3,1024,0.10914586659834889,0.01323784073559321,8.24499015952679,1.0,0.016436315067112434,847,82.71484375
7,horse,layer4,2048,0.31934710970822167,0.006315206623296789,50.56795901659822,0.8926365971565247,0.021426537428051222,1933,94.384765625
7,horse,fc,512,0.4948895723957637,0.005907627840395243,83.7712844759452,0.8969704508781433,0.01706107413396236,507,99.0234375
8,ship,stem,3,0.010531654947698284,0.0004953735999530319,21.260024653507628,0.02701513096690178,0.0011235907662194222,3,100.0
8,ship,layer1,256,0.0821012870240559,0.0051027400000246935,16.089647331366795,0.5602676272392273,0.026921552140265693,116,45.3125
8,ship,layer2,512,0.09557374501674308,0.05399794107235505,1.7699516522061116,1.0,0.012894622944295385,455,88.8671875
8,ship,layer3,1024,0.1416369246624612,0.02801648658220654,5.0554848926851434,1.0,0.015843225717544554,942,91.9921875
8,ship,layer4,2048,0.3185292821117291,0.009068580609004884,35.12449145519389,0.9345559477806091,0.02529444899410007,1951,95.263671875
8,ship,fc,512,0.4796338749167214,0.010089121328020449,47.53970730678374,0.9190224409103394,0.02467384800314903,506,98.828125
9,truck,stem,3,0.005562587049859869,0.001233332074868542,4.510210318216829,0.05709177628159523,0.00319562581833452,3,100.0
9,truck,layer1,256,0.05743991388083117,0.007340946876385463,7.824591956332675,0.26576584577560425,0.032798141706734806,105,41.015625
9,truck,layer2,512,0.07398190867053077,0.0624986398817357,1.18373629907026,0.5140104293823242,0.012710999585688113,429,83.7890625
9,truck,layer3,1024,0.12702361681707292,0.03170430551024694,4.006509992026744,1.0,0.01602600721642375,872,85.15625
9,truck,layer4,2048,0.30601477016041573,0.00698800120617529,43.79145926448764,0.9590319395065308,0.020725123640149827,1948,95.1171875
9,truck,fc,512,0.4874652874636965,0.007141818095238227,68.25506908229875,0.9265556931495667,0.023884996976703345,507,99.0234375
